"FULL_family_count","closure_count","equivalence_valid","instance_id","panel","reason"
"1","2","True","B_o013_r01831","B","closure_count>1"
"1","2","True","B_o013_r01832","B","closure_count>1"
"1","2","True","B_o013_r01855","B","closure_count>1"
"1","2","True","B_o013_r01856","B","closure_count>1"
"1","2","True","B_o013_r01857","B","closure_count>1"
"1","2","True","B_o013_r01858","B","closure_count>1"
"1","2","True","B_o013_r01859","B","closure_count>1"
"1","2","True","B_o013_r01860","B","closure_count>1"
"1","2","True","B_o013_r01873","B","closure_count>1"
"1","2","True","B_o013_r01875","B","closure_count>1"
"1","2","True","B_o013_r01879","B","closure_count>1"
"1","2","True","B_o013_r01881","B","closure_count>1"
"1","2","True","B_o013_r01885","B","closure_count>1"
"1","2","True","B_o013_r01887","B","closure_count>1"
"1","2","True","B_o014_r01927","B","closure_count>1"
"1","2","True","B_o014_r01928","B","closure_count>1"
"1","2","True","B_o014_r01951","B","closure_count>1"
"1","2","True","B_o014_r01952","B","closure_count>1"
"1","2","True","B_o014_r01975","B","closure_count>1"
"1","2","True","B_o014_r01976","B","closure_count>1"
"1","2","True","B_o014_r01977","B","closure_count>1"
"1","2","True","B_o014_r01978","B","closure_count>1"
"1","2","True","B_o014_r01979","B","closure_count>1"
"1","2","True","B_o014_r01980","B","closure_count>1"
"1","2","True","B_o014_r01993","B","closure_count>1"
"1","2","True","B_o014_r01995","B","closure_count>1"
"1","2","True","B_o014_r01999","B","closure_count>1"
"1","2","True","B_o014_r02001","B","closure_count>1"
"1","2","True","B_o014_r02005","B","closure_count>1"
"1","2","True","B_o014_r02007","B","closure_count>1"
"1","2","True","B_o015_r02047","B","closure_count>1"
"1","2","True","B_o015_r02048","B","closure_count>1"
"1","2","True","B_o015_r02060","B","closure_count>1"
"1","2","True","B_o015_r02062","B","closure_count>1"
"1","2","True","B_o015_r02063","B","closure_count>1"
"1","2","True","B_o015_r02064","B","closure_count>1"
"1","2","True","B_o015_r02071","B","closure_count>1"
"1","2","True","B_o015_r02072","B","closure_count>1"
"1","2","True","B_o015_r02084","B","closure_count>1"
"1","2","True","B_o015_r02086","B","closure_count>1"
"1","2","True","B_o015_r02087","B","closure_count>1"
"1","2","True","B_o015_r02088","B","closure_count>1"
"1","2","True","B_o015_r02095","B","closure_count>1"
"1","2","True","B_o015_r02096","B","closure_count>1"
"1","2","True","B_o015_r02097","B","closure_count>1"
"1","2","True","B_o015_r02098","B","closure_count>1"
"1","2","True","B_o015_r02099","B","closure_count>1"
"1","2","True","B_o015_r02100","B","closure_count>1"
"1","2","True","B_o015_r02108","B","closure_count>1"
"1","2","True","B_o015_r02110","B","closure_count>1"
"1","2","True","B_o015_r02111","B","closure_count>1"
"1","2","True","B_o015_r02112","B","closure_count>1"
"1","2","True","B_o015_r02138","B","closure_count>1"
"1","2","True","B_o015_r02140","B","closure_count>1"
"1","2","True","B_o015_r02141","B","closure_count>1"
"1","2","True","B_o015_r02142","B","closure_count>1"
"1","2","True","B_o015_r02144","B","closure_count>1"
"1","2","True","B_o015_r02146","B","closure_count>1"
"1","2","True","B_o015_r02147","B","closure_count>1"
"1","2","True","B_o015_r02148","B","closure_count>1"
"1","2","True","B_o015_r02150","B","closure_count>1"
"1","2","True","B_o015_r02152","B","closure_count>1"
"1","2","True","B_o015_r02153","B","closure_count>1"
"1","2","True","B_o015_r02154","B","closure_count>1"
"1","2","True","B_o015_r02155","B","closure_count>1"
"1","2","True","B_o015_r02156","B","closure_count>1"
"1","2","True","B_o015_r02157","B","closure_count>1"
"1","2","True","B_o015_r02158","B","closure_count>1"
"1","2","True","B_o015_r02159","B","closure_count>1"
"1","2","True","B_o015_r02160","B","closure_count>1"
"1","2","True","B_o016_r02175","B","closure_count>1"
"1","2","True","B_o016_r02176","B","closure_count>1"
"1","2","True","B_o016_r02181","B","closure_count>1"
"1","2","True","B_o016_r02182","B","closure_count>1"
"1","2","True","B_o016_r02199","B","closure_count>1"
"1","2","True","B_o016_r02200","B","closure_count>1"
"1","2","True","B_o016_r02205","B","closure_count>1"
"1","2","True","B_o016_r02206","B","closure_count>1"
"1","2","True","B_o016_r02217","B","closure_count>1"
"1","2","True","B_o016_r02218","B","closure_count>1"
"1","2","True","B_o016_r02219","B","closure_count>1"
"1","2","True","B_o016_r02220","B","closure_count>1"
"1","2","True","B_o016_r02235","B","closure_count>1"
"1","2","True","B_o016_r02236","B","closure_count>1"
"1","2","True","B_o016_r02237","B","closure_count>1"
"1","2","True","B_o016_r02238","B","closure_count>1"
"1","3","True","B_o016_r02241","B","closure_count>1"
"1","3","True","B_o016_r02242","B","closure_count>1"
"1","3","True","B_o016_r02243","B","closure_count>1"
"1","3","True","B_o016_r02244","B","closure_count>1"
"1","2","True","B_o016_r02245","B","closure_count>1"
"1","2","True","B_o016_r02246","B","closure_count>1"
"1","2","True","B_o016_r02247","B","closure_count>1"
"1","2","True","B_o016_r02248","B","closure_count>1"
"1","3","True","B_o016_r02249","B","closure_count>1"
"1","3","True","B_o016_r02250","B","closure_count>1"
"1","4","True","B_o016_r02255","B","closure_count>1"
"1","4","True","B_o016_r02256","B","closure_count>1"
"1","2","True","B_o016_r02259","B","closure_count>1"
"1","2","True","B_o016_r02260","B","closure_count>1"
"1","2","True","B_o016_r02261","B","closure_count>1"
"1","2","True","B_o016_r02262","B","closure_count>1"
"1","3","True","B_o016_r02265","B","closure_count>1"
"1","3","True","B_o016_r02266","B","closure_count>1"
"1","3","True","B_o016_r02267","B","closure_count>1"
"1","3","True","B_o016_r02268","B","closure_count>1"
"1","2","True","B_o016_r02269","B","closure_count>1"
"1","2","True","B_o016_r02270","B","closure_count>1"
"1","2","True","B_o016_r02271","B","closure_count>1"
"1","2","True","B_o016_r02272","B","closure_count>1"
"1","4","True","B_o016_r02273","B","closure_count>1"
"1","4","True","B_o016_r02274","B","closure_count>1"
"1","2","True","B_o016_r02275","B","closure_count>1"
"1","2","True","B_o016_r02276","B","closure_count>1"
"1","2","True","B_o016_r02277","B","closure_count>1"
"1","2","True","B_o016_r02278","B","closure_count>1"
"1","6","True","B_o016_r02279","B","closure_count>1"
"1","6","True","B_o016_r02280","B","closure_count>1"
"1","2","True","B_o017_r02295","B","closure_count>1"
"1","2","True","B_o017_r02296","B","closure_count>1"
"1","2","True","B_o017_r02319","B","closure_count>1"
"1","2","True","B_o017_r02320","B","closure_count>1"
"1","2","True","B_o017_r02337","B","closure_count>1"
"1","2","True","B_o017_r02338","B","closure_count>1"
"1","2","True","B_o017_r02339","B","closure_count>1"
"1","2","True","B_o017_r02340","B","closure_count>1"
"1","2","True","B_o017_r02355","B","closure_count>1"
"1","2","True","B_o017_r02356","B","closure_count>1"
"1","2","True","B_o017_r02357","B","closure_count>1"
"1","2","True","B_o017_r02358","B","closure_count>1"
"1","3","True","B_o017_r02361","B","closure_count>1"
"1","3","True","B_o017_r02362","B","closure_count>1"
"1","3","True","B_o017_r02363","B","closure_count>1"
"1","3","True","B_o017_r02364","B","closure_count>1"
"1","2","True","B_o017_r02365","B","closure_count>1"
"1","2","True","B_o017_r02366","B","closure_count>1"
"1","2","True","B_o017_r02367","B","closure_count>1"
"1","2","True","B_o017_r02368","B","closure_count>1"
"1","3","True","B_o017_r02369","B","closure_count>1"
"1","3","True","B_o017_r02370","B","closure_count>1"
"1","2","True","B_o017_r02375","B","closure_count>1"
"1","2","True","B_o017_r02376","B","closure_count>1"
"1","2","True","B_o017_r02377","B","closure_count>1"
"1","2","True","B_o017_r02378","B","closure_count>1"
"1","3","True","B_o017_r02379","B","closure_count>1"
"1","3","True","B_o017_r02380","B","closure_count>1"
"1","5","True","B_o017_r02381","B","closure_count>1"
"1","5","True","B_o017_r02382","B","closure_count>1"
"1","2","True","B_o017_r02383","B","closure_count>1"
"1","2","True","B_o017_r02384","B","closure_count>1"
"1","4","True","B_o017_r02385","B","closure_count>1"
"1","4","True","B_o017_r02386","B","closure_count>1"
"1","6","True","B_o017_r02387","B","closure_count>1"
"1","6","True","B_o017_r02388","B","closure_count>1"
"1","3","True","B_o017_r02389","B","closure_count>1"
"1","3","True","B_o017_r02390","B","closure_count>1"
"1","3","True","B_o017_r02391","B","closure_count>1"
"1","3","True","B_o017_r02392","B","closure_count>1"
"1","7","True","B_o017_r02393","B","closure_count>1"
"1","7","True","B_o017_r02394","B","closure_count>1"
"1","3","True","B_o017_r02395","B","closure_count>1"
"1","3","True","B_o017_r02396","B","closure_count>1"
"1","3","True","B_o017_r02397","B","closure_count>1"
"1","3","True","B_o017_r02398","B","closure_count>1"
"1","8","True","B_o017_r02399","B","closure_count>1"
"1","8","True","B_o017_r02400","B","closure_count>1"
"1","2","True","B_o018_r02415","B","closure_count>1"
"1","2","True","B_o018_r02416","B","closure_count>1"
"1","2","True","B_o018_r02439","B","closure_count>1"
"1","2","True","B_o018_r02440","B","closure_count>1"
"1","2","True","B_o018_r02457","B","closure_count>1"
"1","2","True","B_o018_r02458","B","closure_count>1"
"1","2","True","B_o018_r02459","B","closure_count>1"
"1","2","True","B_o018_r02460","B","closure_count>1"
"1","2","True","B_o018_r02475","B","closure_count>1"
"1","2","True","B_o018_r02476","B","closure_count>1"
"1","2","True","B_o018_r02477","B","closure_count>1"
"1","2","True","B_o018_r02478","B","closure_count>1"
"1","3","True","B_o018_r02481","B","closure_count>1"
"1","3","True","B_o018_r02482","B","closure_count>1"
"1","3","True","B_o018_r02483","B","closure_count>1"
"1","3","True","B_o018_r02484","B","closure_count>1"
"1","2","True","B_o018_r02485","B","closure_count>1"
"1","2","True","B_o018_r02486","B","closure_count>1"
"1","2","True","B_o018_r02487","B","closure_count>1"
"1","2","True","B_o018_r02488","B","closure_count>1"
"1","3","True","B_o018_r02489","B","closure_count>1"
