"EDD_C22","SPT_sufficient","TT_star","beta_optimal","instance_id","optimal_schedule_count","optimal_schedules","panel"
"True","True","11","True","A_o008_r00189","1","[[3,2,1,4]]","A"
"True","True","3","True","A_o009_r00193","1","[[1,2,3,4]]","A"
"True","True","4","True","A_o009_r00194","1","[[1,2,4,3]]","A"
"True","True","3","True","A_o009_r00195","1","[[1,3,2,4]]","A"
"True","True","7","True","A_o009_r00196","1","[[1,4,2,3]]","A"
"True","True","5","True","A_o009_r00197","1","[[1,3,2,4]]","A"
"True","True","8","True","A_o009_r00198","1","[[1,4,2,3]]","A"
"True","True","4","True","A_o009_r00199","1","[[2,1,3,4]]","A"
"True","True","5","True","A_o009_r00200","1","[[2,1,4,3]]","A"
"True","True","6","True","A_o009_r00201","1","[[3,1,2,4]]","A"
"True","True","11","True","A_o009_r00202","1","[[1,4,2,3]]","A"
"True","True","8","True","A_o009_r00203","1","[[3,1,2,4]]","A"
"True","True","12","True","A_o009_r00204","1","[[1,4,2,3]]","A"
"True","True","5","True","A_o009_r00205","1","[[2,3,1,4]]","A"
"True","True","7","True","A_o009_r00207","1","[[3,2,1,4]]","A"
"True","True","12","True","A_o009_r00209","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","7","True","A_o009_r00211","1","[[2,3,1,4]]","A"
"True","True","9","True","A_o009_r00213","1","[[3,2,1,4]]","A"
"True","True","3","True","A_o010_r00217","2","[[1,2,3,4],[1,3,2,4]]","A"
"True","True","4","True","A_o010_r00218","1","[[1,2,4,3]]","A"
"True","True","5","True","A_o010_r00220","1","[[1,4,2,3]]","A"
"True","True","6","True","A_o010_r00222","1","[[1,4,2,3]]","A"
"True","True","4","True","A_o010_r00223","2","[[2,1,3,4],[2,3,1,4]]","A"
"True","True","5","True","A_o010_r00224","1","[[2,1,4,3]]","A"
"True","True","6","True","A_o010_r00225","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","11","True","A_o010_r00226","2","[[1,4,2,3],[4,1,2,3]]","A"
"True","True","8","True","A_o010_r00227","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","12","True","A_o010_r00228","2","[[1,4,2,3],[4,1,2,3]]","A"
"True","True","10","True","A_o010_r00233","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","5","True","A_o011_r00241","2","[[1,2,3,4],[2,1,3,4]]","A"
"True","True","7","True","A_o011_r00242","2","[[1,2,3,4],[2,1,3,4]]","A"
