"M_K_v2_hash","M_K_v2_serialized","instance_id","panel"
"ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]],""EDD_C22"":true,""GEOM4"":[true,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[1,2,3,4],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[]}]}","A_o002_r00025","A"
"d9c68703a6aba49a2be277565fb4948f8fc8c1ae4eaaca7e8ceb5696a9867721","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[1,2,3,4],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,2],4,[3]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[]}]}","A_o002_r00026","A"
"a5f58ea3ca673a218027454b420ebac3db95bc1163f6c6b84f24fe9fe4ad4101","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[1,2,3,4],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[1],4,[2,3]],[3,[1,2],4,[3]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[]}]}","A_o002_r00028","A"
"c05f23394596ae9fa98df31ef87a596f92c6c6244caad6bfd01272cc5daa4d63","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[2,4],[3,2],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[3,2],[1,3],[1,4],[2,4],[3,4]],""S_beta"":[1,3,2,4],""BETA_STATUS"":[""NA"",""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,3],4,[2]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[3]},{""prefix"":[1,3],""argmin"":[2]},{""prefix"":[1,3,2],""argmin"":[4]},{""prefix"":[1,3,2,4],""argmin"":[]}]}","A_o002_r00029","A"
"c23b3ba67a722e02ce17f0c28ffbf2fc60adf58875dfb5083ee34e0edb570b0b","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[2,4],[3,2],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[3,2],[1,3],[1,4],[2,4],[3,4]],""S_beta"":[1,3,2,4],""BETA_STATUS"":[""NA"",""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[1],4,[2,3]],[3,[1,3],4,[2]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[3]},{""prefix"":[1,3],""argmin"":[2]},{""prefix"":[1,3,2],""argmin"":[4]},{""prefix"":[1,3,2,4],""argmin"":[]}]}","A_o002_r00030","A"
"87a1c0f2d61c0de63bae799fc5dd47cf3a40e996ffb463685e266659e21fd38e","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,3],[1,4],[2,1],[2,3],[2,4],[3,4]],""EDD_C22"":true,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[1,3],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[2,1,3,4],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[4]},{""prefix"":[2,1,3,4],""argmin"":[]}]}","A_o002_r00031","A"
"25b63d91ffffefe5ce70df559ef971fa18ef128a7d4e68fd23d74e049c3e9241","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,3],[1,4],[2,1],[2,3],[2,4],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[1,3],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[2,1,3,4],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,2],4,[3]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[4]},{""prefix"":[2,1,3,4],""argmin"":[]}]}","A_o002_r00032","A"
"79b1633a597afd6168627e40c94d06da15c6fe9d1190e6706ab073336c25f82b","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[1,2,3,4],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[1,[],4,[1,2,3]],[2,[1],4,[2,3]],[3,[1,2],4,[3]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[]}]}","A_o002_r00034","A"
"c05f23394596ae9fa98df31ef87a596f92c6c6244caad6bfd01272cc5daa4d63","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[2,4],[3,2],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[3,2],[1,3],[1,4],[2,4],[3,4]],""S_beta"":[1,3,2,4],""BETA_STATUS"":[""NA"",""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,3],4,[2]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[3]},{""prefix"":[1,3],""argmin"":[2]},{""prefix"":[1,3,2],""argmin"":[4]},{""prefix"":[1,3,2,4],""argmin"":[]}]}","A_o002_r00035","A"
"34b190b5610a41440aa52bd08cc4669f73a9fa8b3079a46009fd2c5df1db8934","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[2,4],[3,2],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[3,2],[1,3],[1,4],[2,4],[3,4]],""S_beta"":[1,3,2,4],""BETA_STATUS"":[""NA"",""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[1,[],4,[1,2,3]],[2,[1],4,[2,3]],[3,[1,3],4,[2]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[3]},{""prefix"":[1,3],""argmin"":[2]},{""prefix"":[1,3,2],""argmin"":[4]},{""prefix"":[1,3,2,4],""argmin"":[]}]}","A_o002_r00036","A"
